emd_code,sgg_code,sido_code,emd_name,sgg_name,sido_name,use_yn
1156011800,11560,11,도림동,영등포구,서울특별시,1
1156011900,11560,11,문래동1가,영등포구,서울특별시,1
1156012000,11560,11,문래동2가,영등포구,서울특별시,1
1156012100,11560,11,문래동3가,영등포구,서울특별시,1
1156012200,11560,11,문래동4가,영등포구,서울특별시,1
1156012300,11560,11,문래동5가,영등포구,서울특별시,1
1156012400,11560,11,문래동6가,영등포구,서울특별시,1
1156012500,11560,11,양평동1가,영등포구,서울특별시,1
1156012600,11560,11,양평동2가,영등포구,서울특별시,1
1156012700,11560,11,양평동3가,영등포구,서울특별시,1
1156012800,11560,11,양평동4가,영등포구,서울특별시,1
1156012900,11560,11,양평동5가,영등포구,서울특별시,1
1156013000,11560,11,양평동6가,영등포구,서울특별시,1
1156013100,11560,11,양화동,영등포구,서울특별시,1
1156013200,11560,11,신길동,영등포구,서울특별시,1
1156013300,11560,11,대림동,영등포구,서울특별시,1
1156013400,11560,11,양평동,영등포구,서울특별시,1
1159010100,11590,11,노량진동,동작구,서울특별시,1
1159010200,11590,11,상도동,동작구,서울특별시,1
1159010300,11590,11,상도1동,동작구,서울특별시,1
1159010400,11590,11,본동,동작구,서울특별시,1
1159010500,11590,11,흑석동,동작구,서울특별시,1
1159010600,11590,11,동작동,동작구,서울특별시,1
1159010700,11590,11,사당동,동작구,서울특별시,1
1159010800,11590,11,대방동,동작구,서울특별시,1
1159010900,11590,11,신대방동,동작구,서울특별시,1
1162010100,11620,11,봉천동,관악구,서울특별시,1
1162010200,11620,11,신림동,관악구,서울특별시,1
1162010300,11620,11,남현동,관악구,서울특별시,1
1165010100,11650,11,방배동,서초구,서울특별시,1
1165010200,11650,11,양재동,서초구,서울특별시,1
1165010300,11650,11,우면동,서초구,서울특별시,1
1165010400,11650,11,원지동,서초구,서울특별시,1
1165010600,11650,11,잠원동,서초구,서울특별시,1
1165010700,11650,11,반포동,서초구,서울특별시,1
1165010800,11650,11,서초동,서초구,서울특별시,1
1165010900,11650,11,내곡동,서초구,서울특별시,1
1165011000,11650,11,염곡동,서초구,서울특별시,1
1165011100,11650,11,신원동,서초구,서울특별시,1
1168010100,11680,11,역삼동,강남구,서울특별시,1
1168010300,11680,11,개포동,강남구,서울특별시,1
1168010400,11680,11,청담동,강남구,서울특별시,1
1168010500,11680,11,삼성동,강남구,서울특별시,1
1168010600,11680,11,대치동,강남구,서울특별시,1
1168010700,11680,11,신사동,강남구,서울특별시,1
1168010800,11680,11,논현동,강남구,서울특별시,1
1168011000,11680,11,압구정동,강남구,서울특별시,1
1168011100,11680,11,세곡동,강남구,서울특별시,1
1168011200,11680,11,자곡동,강남구,서울특별시,1
1168011300,11680,11,율현동,강남구,서울특별시,1
1168011400,11680,11,일원동,강남구,서울특별시,1
1168011500,11680,11,수서동,강남구,서울특별시,1
1168011800,11680,11,도곡동,강남구,서울특별시,1
1171010100,11710,11,잠실동,송파구,서울특별시,1
1171010200,11710,11,신천동,송파구,서울특별시,1
1171010300,11710,11,풍납동,송파구,서울특별시,1
1171010400,11710,11,송파동,송파구,서울특별시,1
1171010500,11710,11,석촌동,송파구,서울특별시,1
1171010600,11710,11,삼전동,송파구,서울특별시,1
1171010700,11710,11,가락동,송파구,서울특별시,1
1171010800,11710,11,문정동,송파구,서울특별시,1
1171010900,11710,11,장지동,송파구,서울특별시,1
1171011100,11710,11,방이동,송파구,서울특별시,1
1171011200,11710,11,오금동,송파구,서울특별시,1
1171011300,11710,11,거여동,송파구,서울특별시,1
1171011400,11710,11,마천동,송파구,서울특별시,1
1174010100,11740,11,명일동,강동구,서울특별시,1
1174010200,11740,11,고덕동,강동구,서울특별시,1
1174010300,11740,11,상일동,강동구,서울특별시,1
1174010500,11740,11,길동,강동구,서울특별시,1
1174010600,11740,11,둔촌동,강동구,서울특별시,1
1174010700,11740,11,암사동,강동구,서울특별시,1
1174010800,11740,11,성내동,강동구,서울특별시,1
1174010900,11740,11,천호동,강동구,서울특별시,1
1174011000,11740,11,강일동,강동구,서울특별시,1
2611010100,26110,26,영주동,중구,부산광역시,1
2611010200,26110,26,대창동1가,중구,부산광역시,1
2611010300,26110,26,대창동2가,중구,부산광역시,1
2611010400,26110,26,중앙동1가,중구,부산광역시,1
2611010500,26110,26,중앙동2가,중구,부산광역시,1
2611010600,26110,26,중앙동3가,중구,부산광역시,1
2611010700,26110,26,중앙동4가,중구,부산광역시,1
2611010800,26110,26,중앙동5가,중구,부산광역시,1
2611010900,26110,26,중앙동6가,중구,부산광역시,1
2611011000,26110,26,중앙동7가,중구,부산광역시,1
2611011100,26110,26,동광동1가,중구,부산광역시,1
2611011200,26110,26,동광동2가,중구,부산광역시,1
2611011300,26110,26,동광동3가,중구,부산광역시,1
2611011400,26110,26,동광동4가,중구,부산광역시,1
2611011500,26110,26,동광동5가,중구,부산광역시,1
2611011600,26110,26,대청동1가,중구,부산광역시,1
2611011700,26110,26,대청동2가,중구,부산광역시,1
2611011800,26110,26,대청동3가,중구,부산광역시,1
2611011900,26110,26,대청동4가,중구,부산광역시,1
2611012000,26110,26,보수동1가,중구,부산광역시,1
2611012100,26110,26,보수동2가,중구,부산광역시,1
2611012200,26110,26,보수동3가,중구,부산광역시,1
2611012300,26110,26,부평동1가,중구,부산광역시,1
2611012400,26110,26,부평동2가,중구,부산광역시,1
2611012500,26110,26,부평동3가,중구,부산광역시,1
2611012600,26110,26,부평동4가,중구,부산광역시,1
2611012700,26110,26,신창동1가,중구,부산광역시,1
2611012800,26110,26,신창동2가,중구,부산광역시,1
2611012900,26110,26,신창동3가,중구,부산광역시,1
2611013000,26110,26,신창동4가,중구,부산광역시,1
2611013100,26110,26,창선동1가,중구,부산광역시,1
2611013200,26110,26,창선동2가,중구,부산광역시,1
2611013300,26110,26,광복동1가,중구,부산광역시,1
2611013400,26110,26,광복동2가,중구,부산광역시,1
2611013500,26110,26,광복동3가,중구,부산광역시,1
2611013600,26110,26,남포동1가,중구,부산광역시,1
2611013700,26110,26,남포동2가,중구,부산광역시,1
2611013800,26110,26,남포동3가,중구,부산광역시,1
2611013900,26110,26,남포동4가,중구,부산광역시,1
2611014000,26110,26,남포동5가,중구,부산광역시,1
2611014100,26110,26,남포동6가,중구,부산광역시,1
2614010100,26140,26,동대신동1가,서구,부산광역시,1
2614010200,26140,26,동대신동2가,서구,부산광역시,1
2614010300,26140,26,동대신동3가,서구,부산광역시,1
2614010400,26140,26,서대신동1가,서구,부산광역시,1
2614010500,26140,26,서대신동2가,서구,부산광역시,1
2614010600,26140,26,서대신동3가,서구,부산광역시,1
2614010700,26140,26,부용동1가,서구,부산광역시,1
